draw_no,date,n1,n2,n3,n4,n5,n6,n7,n8,numbers,first_winners,first_prize_yen
1,2017-04-05,1,10,13,19,23,28,35,37,01 10 13 19 23 28 35 37,2,8578800
2,2017-04-12,1,6,15,18,21,30,35,38,01 06 15 18 21 30 35 38,5,4960600
3,2017-04-19,4,6,12,17,24,28,31,40,04 06 12 17 24 28 31 40,6,5027600
4,2017-04-26,2,7,13,19,21,30,33,38,02 07 13 19 21 30 33 38,4,7501600
5,2017-05-03,5,8,13,19,24,29,32,36,05 08 13 19 24 29 32 36,2,14915400
6,2017-05-10,1,9,12,19,21,26,31,39,01 09 12 19 21 26 31 39,5,5711300
7,2017-05-17,4,9,13,18,21,27,31,37,04 09 13 18 21 27 31 37,3,9393800
8,2017-05-24,2,10,15,20,21,28,31,39,02 10 15 20 21 28 31 39,3,8530400
9,2017-05-31,2,8,13,19,21,27,35,38,02 08 13 19 21 27 35 38,4,6351700
10,2017-06-07,2,6,15,16,25,29,35,36,02 06 15 16 25 29 35 36,1,26105600
11,2017-06-14,3,9,14,19,22,26,34,37,03 09 14 19 22 26 34 37,4,6252400
12,2017-06-21,1,10,11,17,24,30,35,36,01 10 11 17 24 30 35 36,3,9004200
13,2017-06-28,4,10,13,16,21,26,34,39,04 10 13 16 21 26 34 39,5,5136700
14,2017-07-05,1,10,13,19,21,28,34,39,01 10 13 19 21 28 34 39,8,2986100
15,2017-07-12,3,10,12,17,22,27,32,39,03 10 12 17 22 27 32 39,5,5244300
16,2017-07-19,3,9,14,20,21,29,31,36,03 09 14 20 21 29 31 36,2,11924300
17,2017-07-26,1,9,12,20,23,29,35,37,01 09 12 20 23 29 35 37,6,3779100
18,2017-08-02,5,9,12,20,24,27,35,38,05 09 12 20 24 27 35 38,3,7518000
19,2017-08-09,5,9,12,16,25,29,31,38,05 09 12 16 25 29 31 38,2,11112100
20,2017-08-16,4,9,15,19,22,28,34,39,04 09 15 19 22 28 34 39,6,3533900
21,2017-08-23,2,8,15,20,25,29,35,37,02 08 15 20 25 29 35 37,0,0
22,2017-08-30,1,9,14,16,21,29,34,40,01 09 14 16 21 29 34 40,1,24123400
23,2017-09-06,1,7,11,20,24,29,31,37,01 07 11 20 24 29 31 37,2,11766200
24,2017-09-13,2,6,15,18,21,28,32,37,02 06 15 18 21 28 32 37,3,8155200
25,2017-09-20,3,7,11,16,24,28,32,37,03 07 11 16 24 28 32 37,3,7565700
26,2017-09-27,3,9,13,20,22,29,35,38,03 09 13 20 22 29 35 38,2,11860200
27,2017-10-04,5,9,15,19,24,26,32,37,05 09 15 19 24 26 32 37,2,11968900
28,2017-10-11,1,7,15,17,21,29,34,40,01 07 15 17 21 29 34 40,2,11038900
29,2017-10-18,1,9,12,19,24,29,31,36,01 09 12 19 24 29 31 36,1,22274400
30,2017-10-25,3,10,11,16,21,26,35,38,03 10 11 16 21 26 35 38,2,11037100
31,2017-11-01,5,10,14,20,24,30,31,39,05 10 14 20 24 30 31 39,0,0
32,2017-11-08,4,6,15,18,23,30,32,36,04 06 15 18 23 30 32 36,2,10573900
33,2017-11-15,4,8,12,18,25,28,35,40,04 08 12 18 25 28 35 40,2,11957800
34,2017-11-22,5,7,15,17,21,28,32,38,05 07 15 17 21 28 32 38,3,6859800
35,2017-11-29,2,9,13,20,24,30,35,39,02 09 13 20 24 30 35 39,3,6703500
36,2017-12-06,5,6,13,16,22,26,35,39,05 06 13 16 22 26 35 39,2,10418900
37,2017-12-13,2,6,14,18,25,27,34,36,02 06 14 18 25 27 34 36,3,7148900
38,2017-12-20,2,8,13,20,23,30,31,38,02 08 13 20 23 30 31 38,5,4339700
39,2017-12-27,5,10,13,19,21,30,32,36,05 10 13 19 21 30 32 36,2,10480000
40,2018-01-10,3,6,15,19,22,29,31,36,03 06 15 19 22 29 31 36,6,3870200
41,2018-01-17,3,7,11,19,21,30,31,36,03 07 11 19 21 30 31 36,6,3230400
42,2018-01-24,4,9,13,18,21,28,35,37,04 09 13 18 21 28 35 37,6,3463400
43,2018-01-31,1,6,15,16,24,27,33,39,01 06 15 16 24 27 33 39,3,7414500
44,2018-02-07,3,8,15,16,21,30,33,38,03 08 15 16 21 30 33 38,1,21723400
45,2018-02-14,3,6,14,18,22,30,31,39,03 06 14 18 22 30 31 39,0,0
46,2018-02-21,5,7,11,18,24,26,31,40,05 07 11 18 24 26 31 40,4,5561600
47,2018-02-28,1,7,12,20,24,26,31,39,01 07 12 20 24 26 31 39,1,20560000
48,2018-03-07,3,10,11,19,21,27,32,36,03 10 11 19 21 27 32 36,2,9475500
49,2018-03-14,2,7,11,18,24,30,32,38,02 07 11 18 24 30 32 38,1,20424400
50,2018-03-21,2,6,15,19,23,27,33,40,02 06 15 19 23 27 33 40,5,3893000
51,2018-03-28,1,7,11,17,22,30,35,40,01 07 11 17 22 30 35 40,4,5407400
52,2018-04-04,5,9,11,20,23,27,35,40,05 09 11 20 23 27 35 40,1,19832400
53,2018-04-11,3,9,14,17,21,26,32,38,03 09 14 17 21 26 32 38,3,6074000
54,2018-04-18,2,8,13,18,22,30,32,36,02 08 13 18 22 30 32 36,2,10576900
55,2018-04-25,5,9,13,18,23,27,31,40,05 09 13 18 23 27 31 40,4,4877900
56,2018-05-02,2,8,15,16,24,28,35,37,02 08 15 16 24 28 35 37,4,4889600
57,2018-05-09,3,9,11,20,24,26,31,39,03 09 11 20 24 26 31 39,8,2179200
58,2018-05-16,2,7,12,18,21,27,34,38,02 07 12 18 21 27 34 38,0,0
59,2018-05-23,1,9,15,19,23,30,33,38,01 09 15 19 23 30 33 38,2,8849300
60,2018-05-30,2,6,15,19,25,29,31,40,02 06 15 19 25 29 31 40,2,9976500
61,2018-06-06,2,10,13,16,21,28,35,40,02 10 13 16 21 28 35 40,2,9474100
62,2018-06-13,2,6,13,20,22,30,31,39,02 06 13 20 22 30 31 39,3,6132900
63,2018-06-20,5,10,11,20,24,29,31,36,05 10 11 20 24 29 31 36,4,5002400
64,2018-06-27,5,6,11,16,21,26,34,37,05 06 11 16 21 26 34 37,2,9890400
65,2018-07-04,1,10,15,17,24,30,35,37,01 10 15 17 24 30 35 37,3,6146800
66,2018-07-11,4,10,12,19,23,26,33,39,04 10 12 19 23 26 33 39,2,9421800
67,2018-07-18,2,6,12,16,24,30,31,40,02 06 12 16 24 30 31 40,1,17416600
68,2018-07-25,2,8,11,16,22,29,32,36,02 08 11 16 22 29 32 36,3,5980500
69,2018-08-01,1,6,13,18,25,27,32,40,01 06 13 18 25 27 32 40,3,5694000
70,2018-08-08,5,6,12,17,23,30,33,39,05 06 12 17 23 30 33 39,2,9002200
71,2018-08-15,4,6,13,19,23,27,35,39,04 06 13 19 23 27 35 39,2,8613100
72,2018-08-22,2,8,11,16,22,29,31,40,02 08 11 16 22 29 31 40,13,1464000
73,2018-08-29,5,9,12,16,23,28,35,37,05 09 12 16 23 28 35 37,1,17739000
74,2018-09-05,2,8,11,20,22,28,33,37,02 08 11 20 22 28 33 37,7,2505700
75,2018-09-12,5,6,12,17,22,29,34,40,05 06 12 17 22 29 34 40,2,9261700
76,2018-09-19,2,6,13,18,25,30,31,38,02 06 13 18 25 30 31 38,5,3466500
77,2018-09-26,2,10,15,16,24,27,34,40,02 10 15 16 24 27 34 40,4,4296800
78,2018-10-03,5,7,14,16,24,27,33,38,05 07 14 16 24 27 33 38,2,8788900
79,2018-10-10,3,7,12,19,25,26,32,36,03 07 12 19 25 26 32 36,2,8468900
80,2018-10-17,5,9,11,16,23,27,33,38,05 09 11 16 23 27 33 38,6,3015600
81,2018-10-24,5,8,15,19,25,27,33,40,05 08 15 19 25 27 33 40,2,8626600
82,2018-10-31,5,6,11,20,24,27,34,40,05 06 11 20 24 27 34 40,2,9119600
83,2018-11-07,4,8,15,19,24,30,34,36,04 08 15 19 24 30 34 36,1,18871300
84,2018-11-14,2,7,15,18,22,30,31,36,02 07 15 18 22 30 31 36,3,5704100
85,2018-11-21,3,7,11,17,24,26,35,40,03 07 11 17 24 26 35 40,3,5675000
86,2018-11-28,4,10,11,17,21,30,31,36,04 10 11 17 21 30 31 36,2,8731000
87,2018-12-05,3,8,11,19,24,30,35,36,03 08 11 19 24 30 35 36,3,6132100
88,2018-12-12,1,9,13,18,24,27,34,36,01 09 13 18 24 27 34 36,2,8502200
89,2018-12-19,3,6,13,16,24,28,35,38,03 06 13 16 24 28 35 38,3,5986100
90,2018-12-26,3,6,13,18,24,27,35,39,03 06 13 18 24 27 35 39,1,18443600
91,2019-01-09,2,8,15,19,24,27,34,39,02 08 15 19 24 27 34 39,7,2651700
92,2019-01-16,1,6,12,19,23,26,31,38,01 06 12 19 23 26 31 38,3,6302400
93,2019-01-23,1,8,14,18,22,26,35,40,01 08 14 18 22 26 35 40,2,9022500
94,2019-01-30,3,10,12,18,22,26,34,36,03 10 12 18 22 26 34 36,4,4423300
95,2019-02-06,2,7,12,18,23,30,31,37,02 07 12 18 23 30 31 37,1,16676200
96,2019-02-13,3,8,14,19,25,30,33,36,03 08 14 19 25 30 33 36,3,5713600
97,2019-02-20,3,10,14,17,24,26,34,36,03 10 14 17 24 26 34 36,3,6080600
98,2019-02-27,4,7,12,18,21,28,35,38,04 07 12 18 21 28 35 38,3,5942800
99,2019-03-06,4,10,11,17,22,28,35,37,04 10 11 17 22 28 35 37,3,6307500
100,2019-03-13,2,8,15,17,25,26,34,37,02 08 15 17 25 26 34 37,1,18150900
101,2019-03-20,3,10,15,17,25,29,35,37,03 10 15 17 25 29 35 37,3,8652700
102,2019-03-27,4,8,11,17,24,28,34,39,04 08 11 17 24 28 34 39,6,5044500
103,2019-04-03,5,6,14,16,24,29,35,39,05 06 14 16 24 29 35 39,1,26436700
104,2019-04-10,5,9,13,17,22,29,35,38,05 09 13 17 22 29 35 38,7,3632000
105,2019-04-17,1,10,12,16,22,29,33,36,01 10 12 16 22 29 33 36,7,3697100
106,2019-04-24,3,6,12,17,25,29,33,36,03 06 12 17 25 29 33 36,4,5663200
107,2019-05-01,1,9,12,19,23,28,34,36,01 09 12 19 23 28 34 36,3,7515800
108,2019-05-08,1,6,14,17,24,26,32,40,01 06 14 17 24 26 32 40,3,7730100
109,2019-05-15,1,10,15,20,22,27,33,39,01 10 15 20 22 27 33 39,2,11302400
110,2019-05-22,5,8,13,20,25,26,33,40,05 08 13 20 25 26 33 40,2,10955100
111,2019-05-29,2,9,12,20,22,28,34,39,02 09 12 20 22 28 34 39,1,23262600
112,2019-06-05,2,8,14,20,25,30,34,40,02 08 14 20 25 30 34 40,2,10931100
113,2019-06-12,4,8,15,20,21,26,34,36,04 08 15 20 21 26 34 36,7,3181700
114,2019-06-19,1,6,12,19,24,30,32,38,01 06 12 19 24 30 32 38,1,22593500
115,2019-06-26,5,8,15,17,21,30,31,37,05 08 15 17 21 30 31 37,3,7669400
116,2019-07-03,2,7,12,18,23,28,35,37,02 07 12 18 23 28 35 37,6,3386200
117,2019-07-10,5,10,13,17,25,30,34,37,05 10 13 17 25 30 34 37,3,7225000
118,2019-07-17,5,10,12,17,23,30,35,38,05 10 12 17 23 30 35 38,3,7108200
119,2019-07-24,2,6,15,19,25,30,35,37,02 06 15 19 25 30 35 37,7,2859800
120,2019-07-31,3,7,14,17,22,30,33,37,03 07 14 17 22 30 33 37,4,5092300
121,2019-08-07,3,6,14,17,23,26,31,40,03 06 14 17 23 26 31 40,4,4647000
122,2019-08-14,1,9,12,20,25,29,34,39,01 09 12 20 25 29 34 39,2,9416600
123,2019-08-21,2,8,12,20,24,30,33,36,02 08 12 20 24 30 33 36,4,4816600
124,2019-08-28,5,7,11,20,22,30,33,39,05 07 11 20 22 30 33 39,2,9938900
125,2019-09-04,4,10,13,17,22,26,32,37,04 10 13 17 22 26 32 37,0,0
126,2019-09-11,1,8,13,18,21,27,35,36,01 08 13 18 21 27 35 36,2,10344500
127,2019-09-18,3,8,14,17,23,26,31,40,03 08 14 17 23 26 31 40,5,3747200
