draw_no,date,number,d100,d10,d1,straight_winners,straight_prize_yen
1,1994-10-07,191,1,9,1,,119800
2,1994-10-14,988,9,8,8,,333500
3,1994-10-21,194,1,9,4,,71700
4,1994-10-28,105,1,0,5,,57200
5,1994-11-04,592,5,9,2,,113400
6,1994-11-11,792,7,9,2,,102600
7,1994-11-18,708,7,0,8,,149100
8,1994-11-25,234,2,3,4,,58200
9,1994-12-02,243,2,4,3,,83600
10,1994-12-09,340,3,4,0,,154600
11,1994-12-16,326,3,2,6,,47500
12,1994-12-23,247,2,4,7,,45800
13,1994-12-30,229,2,2,9,,112700
14,1995-01-06,743,7,4,3,,91400
15,1995-01-10,019,0,1,9,,62000
16,1995-01-13,179,1,7,9,,78900
17,1995-01-17,475,4,7,5,,110900
18,1995-01-20,291,2,9,1,,63400
19,1995-01-24,852,8,5,2,,49300
20,1995-01-27,502,5,0,2,,78800
21,1995-01-31,558,5,5,8,,250100
22,1995-02-03,951,9,5,1,,88000
23,1995-02-07,912,9,1,2,,61900
24,1995-02-10,039,0,3,9,,97600
25,1995-02-14,458,4,5,8,,110700
26,1995-02-17,984,9,8,4,,190100
27,1995-02-21,917,9,1,7,,69500
28,1995-02-24,789,7,8,9,,90300
29,1995-02-28,589,5,8,9,,91500
30,1995-03-03,725,7,2,5,,48300
31,1995-03-07,073,0,7,3,,94600
32,1995-03-10,547,5,4,7,,96000
33,1995-03-14,063,0,6,3,,98700
34,1995-03-17,634,6,3,4,,84500
35,1995-03-21,333,3,3,3,,65500
36,1995-03-24,405,4,0,5,,97600
37,1995-03-28,168,1,6,8,,86400
38,1995-03-31,389,3,8,9,,103700
39,1995-04-04,587,5,8,7,,116100
40,1995-04-07,304,3,0,4,,102400
41,1995-04-11,048,0,4,8,,82800
42,1995-04-14,228,2,2,8,,69700
43,1995-04-18,922,9,2,2,,111600
44,1995-04-21,697,6,9,7,,199500
45,1995-04-25,970,9,7,0,,186600
46,1995-04-28,298,2,9,8,,73700
47,1995-05-02,989,9,8,9,,110400
48,1995-05-05,202,2,0,2,,137400
49,1995-05-09,476,4,7,6,,118400
50,1995-05-12,042,0,4,2,,95800
51,1995-05-16,802,8,0,2,,86500
52,1995-05-19,717,7,1,7,,106600
53,1995-05-23,889,8,8,9,,120000
54,1995-05-26,226,2,2,6,,61000
55,1995-05-30,728,7,2,8,,66500
56,1995-06-02,929,9,2,9,,70900
57,1995-06-06,836,8,3,6,,105600
58,1995-06-09,383,3,8,3,,131200
59,1995-06-13,410,4,1,0,,81000
60,1995-06-16,980,9,8,0,,109600
61,1995-06-20,542,5,4,2,,99700
62,1995-06-23,725,7,2,5,,57300
63,1995-06-27,251,2,5,1,,68800
64,1995-06-30,260,2,6,0,,122700
65,1995-07-04,588,5,8,8,,149400
66,1995-07-07,512,5,1,2,,61600
67,1995-07-11,512,5,1,2,,48900
68,1995-07-14,750,7,5,0,,144400
69,1995-07-18,902,9,0,2,,69900
70,1995-07-21,963,9,6,3,,97100
71,1995-07-25,661,6,6,1,,145000
72,1995-07-28,879,8,7,9,,120200
73,1995-08-01,452,4,5,2,,89500
74,1995-08-04,174,1,7,4,,78900
75,1995-08-08,283,2,8,3,,86400
76,1995-08-11,238,2,3,8,,55600
77,1995-08-15,972,9,7,2,,78000
78,1995-08-18,241,2,4,1,,77300
79,1995-08-22,310,3,1,0,,67300
80,1995-08-25,882,8,8,2,,85700
81,1995-08-29,269,2,6,9,,83100
82,1995-09-01,144,1,4,4,,161600
83,1995-09-05,174,1,7,4,,65900
84,1995-09-08,882,8,8,2,,81600
85,1995-09-12,307,3,0,7,,92600
86,1995-09-15,864,8,6,4,,123300
87,1995-09-19,370,3,7,0,,108300
88,1995-09-22,739,7,3,9,,139300
89,1995-09-26,697,6,9,7,,147900
90,1995-09-29,689,6,8,9,,69400
91,1995-10-03,168,1,6,8,,87300
92,1995-10-06,957,9,5,7,,121800
93,1995-10-10,910,9,1,0,,63800
94,1995-10-13,933,9,3,3,,196400
95,1995-10-17,306,3,0,6,,85100
96,1995-10-20,944,9,4,4,,201900
97,1995-10-24,988,9,8,8,,52300
98,1995-10-27,562,5,6,2,,96800
99,1995-10-31,571,5,7,1,,99600
100,1995-11-03,899,8,9,9,,92200
101,1995-11-07,945,9,4,5,,123100
102,1995-11-10,560,5,6,0,,179300
103,1995-11-14,824,8,2,4,,69300
104,1995-11-17,610,6,1,0,,98900
105,1995-11-21,619,6,1,9,,86800
106,1995-11-24,086,0,8,6,,139100
107,1995-11-28,082,0,8,2,,77200
108,1995-12-01,254,2,5,4,,90200
109,1995-12-05,191,1,9,1,,153400
110,1995-12-08,385,3,8,5,,70100
111,1995-12-12,056,0,5,6,,141100
112,1995-12-15,167,1,6,7,,100100
113,1995-12-19,744,7,4,4,,191100
114,1995-12-22,205,2,0,5,,91100
115,1995-12-26,770,7,7,0,,215000
116,1995-12-29,366,3,6,6,,129600
117,1996-01-05,952,9,5,2,,76200
118,1996-01-09,635,6,3,5,,87100
119,1996-01-12,952,9,5,2,,70400
120,1996-01-16,650,6,5,0,,119200
121,1996-01-19,439,4,3,9,,123700
122,1996-01-23,458,4,5,8,,97100
123,1996-01-26,513,5,1,3,,64300
124,1996-01-30,863,8,6,3,,76500
125,1996-02-02,409,4,0,9,,110900
126,1996-02-06,318,3,1,8,,56800
127,1996-02-09,217,2,1,7,,57300
128,1996-02-13,855,8,5,5,,140900
129,1996-02-16,620,6,2,0,,87300
130,1996-02-20,559,5,5,9,,151800
131,1996-02-23,820,8,2,0,,86600
132,1996-02-27,016,0,1,6,,137700
133,1996-03-01,926,9,2,6,,65800
134,1996-03-05,603,6,0,3,,79000
135,1996-03-08,454,4,5,4,,157400
136,1996-03-12,295,2,9,5,,77900
137,1996-03-15,819,8,1,9,,79000
138,1996-03-19,995,9,9,5,,179800
139,1996-03-22,356,3,5,6,,72500
140,1996-03-26,054,0,5,4,,133900
141,1996-03-29,783,7,8,3,,111100
142,1996-04-02,077,0,7,7,,158300
143,1996-04-05,694,6,9,4,,117200
144,1996-04-09,594,5,9,4,,100900
145,1996-04-12,125,1,2,5,,53800
146,1996-04-16,766,7,6,6,,166900
147,1996-04-19,464,4,6,4,,135800
148,1996-04-23,489,4,8,9,,85400
149,1996-04-26,003,0,0,3,,201000
150,1996-04-30,538,5,3,8,,68000
151,1996-05-03,332,3,3,2,,97700
152,1996-05-07,224,2,2,4,,65900
153,1996-05-10,750,7,5,0,,128500
154,1996-05-14,791,7,9,1,,126100
155,1996-05-17,126,1,2,6,,66400
156,1996-05-21,991,9,9,1,,110900
157,1996-05-24,570,5,7,0,,128700
158,1996-05-28,604,6,0,4,,110300
159,1996-05-31,259,2,5,9,,48400
160,1996-06-04,839,8,3,9,,110400
161,1996-06-07,284,2,8,4,,75900
162,1996-06-11,516,5,1,6,,76800
163,1996-06-14,648,6,4,8,,86400
164,1996-06-18,198,1,9,8,,124900
165,1996-06-21,563,5,6,3,,84500
166,1996-06-25,331,3,3,1,,78800
167,1996-06-28,233,2,3,3,,113400
168,1996-07-02,107,1,0,7,,72200
169,1996-07-05,351,3,5,1,,69500
170,1996-07-09,574,5,7,4,,106600
171,1996-07-12,679,6,7,9,,127400
172,1996-07-16,355,3,5,5,,113300
173,1996-07-19,581,5,8,1,,100300
174,1996-07-23,967,9,6,7,,152200
175,1996-07-26,683,6,8,3,,92900
176,1996-07-30,203,2,0,3,,98600
177,1996-08-02,845,8,4,5,,91200
178,1996-08-06,464,4,6,4,,120200
179,1996-08-09,168,1,6,8,,81300
180,1996-08-13,632,6,3,2,,88100
181,1996-08-16,890,8,9,0,,107600
182,1996-08-20,439,4,3,9,,112900
183,1996-08-23,589,5,8,9,,80700
184,1996-08-27,492,4,9,2,,104200
185,1996-08-30,882,8,8,2,,72500
186,1996-09-03,439,4,3,9,,95900
187,1996-09-06,975,9,7,5,,120300
188,1996-09-10,254,2,5,4,,60800
189,1996-09-13,199,1,9,9,,140100
190,1996-09-17,170,1,7,0,,136400
191,1996-09-20,424,4,2,4,,106000
192,1996-09-24,021,0,2,1,,115000
193,1996-09-27,656,6,5,6,,142800
194,1996-10-01,812,8,1,2,,75100
195,1996-10-04,819,8,1,9,,82800
196,1996-10-08,907,9,0,7,,93300
197,1996-10-11,728,7,2,8,,69300
198,1996-10-15,374,3,7,4,,81600
199,1996-10-18,269,2,6,9,,72800
200,1996-10-22,411,4,1,1,,98000
201,1996-10-25,176,1,7,6,,100200
202,1996-10-29,676,6,7,6,,176900
203,1996-11-01,093,0,9,3,,118100
204,1996-11-05,211,2,1,1,,71900
205,1996-11-08,531,5,3,1,,59300
206,1996-11-12,938,9,3,8,,109500
207,1996-11-15,413,4,1,3,,82200
208,1996-11-19,781,7,8,1,,88800
209,1996-11-22,920,9,2,0,,76600
210,1996-11-26,192,1,9,2,,77700
211,1996-11-29,022,0,2,2,,137600
