H,method,hits,n,rate,null,lift,p,p_holm,promoted
1,cold,164,2803,0.0585087406350338,0.05,0.0085087406350338,0.0234916079177257,0.234916079177257,False
1,hot,139,2803,0.0495897252943275,0.05,-0.0004102747056725,0.551805332355918,1.0,False
1,recency,153,2803,0.054584373885123,0.05,0.004584373885123,0.1425912987780481,1.0,False
1,random,135,2803,0.0481626828398144,0.05,-0.0018373171601855,0.6842850553657507,1.0,False
3,cold,161,934,0.1723768736616702,0.1426250000000001,0.0297518736616701,0.0062559480489518,0.0750713765874216,False
3,hot,136,934,0.145610278372591,0.1426250000000001,0.0029852783725908,0.4110985439237185,1.0,False
3,recency,140,934,0.1498929336188436,0.1426250000000001,0.0072679336188435,0.2757029222696833,1.0,False
3,random,143,934,0.1531049250535331,0.1426250000000001,0.010479925053533,0.1916248105244028,1.0,False
5,cold,148,560,0.2642857142857143,0.2262190625000002,0.038066651785714,0.0190533213731048,0.2095865351041528,False
5,hot,132,560,0.2357142857142857,0.2262190625000002,0.0094952232142854,0.3108169040590333,1.0,False
5,recency,129,560,0.2303571428571428,0.2262190625000002,0.0041380803571426,0.4237021273308805,1.0,False
5,random,126,560,0.225,0.2262190625000002,-0.0012190625000002,0.5439257358164724,1.0,False
