target,horizon_draws,pick_k,method,hits,n,hit_rate,null_rate,lift,p_value,p_holm,promoted
mini_last2,1,5,uniform_random_seeded,135,2802,0.048179871520342615,0.050000000000000044,-0.001820128479657429,0.6827534891719096,1.0,False
mini_last2,1,5,hot_freq,139,2802,0.0496074232690935,0.050000000000000044,-0.00039257673090654227,0.5500936812825508,1.0,False
mini_last2,1,5,recency_hl20,152,2802,0.05424696645253391,0.050000000000000044,0.004246966452533862,0.16140570257548134,1.0,False
mini_last2,1,5,cold_freq,164,2802,0.05852962169878658,0.050000000000000044,0.008529621698786537,0.023245086029477495,0.23245086029477496,False
mini_last2,1,15,uniform_random_seeded,411,2802,0.14668094218415417,0.15000000000000002,-0.0033190578158458495,0.696357511580393,,
mini_last2,1,15,hot_freq,391,2802,0.1395431834403997,0.15000000000000002,-0.010456816559600318,0.9436517134909137,,
mini_last2,1,15,recency_hl20,436,2802,0.15560314061384725,0.15000000000000002,0.0056031406138472295,0.2100134240491981,,
mini_last2,1,15,cold_freq,445,2802,0.15881513204853676,0.15000000000000002,0.008815132048536733,0.10087741159279288,,
box_all_diff,1,1,hot_digits_box,11,2802,0.0039257673090649535,0.006000000000000005,-0.002074232690935052,0.9468885509916577,,
box_all_diff,1,1,random_box,18,2802,0.006423982869379015,0.006000000000000005,0.0004239828693790096,0.4178270968749858,,
straight,1,1,hot_digits_straight,5,2802,0.0017844396859386152,0.0010000000000000009,0.0007844396859386143,0.15254210635451118,,
straight,1,1,random_straight,2,2802,0.0007137758743754461,0.0010000000000000009,-0.0002862241256245548,0.769415351271964,,
mini_last2,3,5,uniform_random_seeded,406,2800,0.145,0.1426250000000001,0.002374999999999877,0.36765397685616835,1.0,False
mini_last2,3,5,hot_freq,410,2800,0.14642857142857144,0.1426250000000001,0.003803571428571323,0.2901247879733306,1.0,False
mini_last2,3,5,recency_hl20,410,2800,0.14642857142857144,0.1426250000000001,0.003803571428571323,0.2901247879733306,1.0,False
mini_last2,3,5,cold_freq,474,2800,0.1692857142857143,0.1426250000000001,0.026660714285714177,4.466865666760966e-05,0.0004913552233437062,True
mini_last2,3,15,uniform_random_seeded,1039,2800,0.37107142857142855,0.3858750000000001,-0.014803571428571527,0.948564553370822,,
mini_last2,3,15,hot_freq,1030,2800,0.3678571428571429,0.3858750000000001,-0.018017857142857197,0.9762858676704534,,
mini_last2,3,15,recency_hl20,1093,2800,0.39035714285714285,0.3858750000000001,0.004482142857142768,0.3195568436344018,,
mini_last2,3,15,cold_freq,1116,2800,0.3985714285714286,0.3858750000000001,0.012696428571428497,0.08699863813444257,,
box_all_diff,3,1,hot_digits_box,31,2800,0.01107142857142857,0.017892216000000016,-0.006820787428571446,0.9985855262769764,,
box_all_diff,3,1,random_box,49,2800,0.0175,0.017892216000000016,-0.00039221600000001466,0.5815873853431472,,
straight,3,1,hot_digits_straight,12,2800,0.004285714285714286,0.002997000999999999,0.0012887132857142868,0.14191691911806045,,
straight,3,1,random_straight,10,2800,0.0035714285714285713,0.002997000999999999,0.0005744275714285722,0.33287924577239497,,
mini_last2,5,5,uniform_random_seeded,647,2798,0.23123659756969264,0.22621906250000023,0.005017535069692408,0.2694942184972833,1.0,False
mini_last2,5,5,hot_freq,660,2798,0.23588277340957828,0.22621906250000023,0.009663710909578044,0.11556531005288381,0.9245224804230705,False
mini_last2,5,5,recency_hl20,663,2798,0.23695496783416725,0.22621906250000023,0.010735905334167017,0.091490529091182,0.823414761820638,False
mini_last2,5,5,cold_freq,756,2798,0.270192994996426,0.22621906250000023,0.04397393249642578,2.8874097864882283e-08,3.464891743785874e-07,True
mini_last2,5,15,uniform_random_seeded,1540,2798,0.5503931379556827,0.5562946875000001,-0.00590154954431743,0.7414308997208645,,
mini_last2,5,15,hot_freq,1512,2798,0.540385989992852,0.5562946875000001,-0.015908697507148073,0.9565088216780269,,
mini_last2,5,15,recency_hl20,1565,2798,0.5593280914939243,0.5562946875000001,0.0030334039939241553,0.38083760502926606,,
mini_last2,5,15,cold_freq,1610,2798,0.5754110078627591,0.5562946875000001,0.01911632036275901,0.021761387231890722,,
box_all_diff,5,1,hot_digits_box,63,2798,0.022516082916368835,0.029642153527775994,-0.007126070611407159,0.9909004590864968,,
box_all_diff,5,1,random_box,84,2798,0.03002144388849178,0.029642153527775994,0.0003792903607157845,0.46812830669124955,,
straight,5,1,hot_digits_straight,17,2798,0.006075768406004289,0.004990009995000988,0.0010857584110033009,0.24036675832005028,,
straight,5,1,random_straight,13,2798,0.004646175839885632,0.004990009995000988,-0.0003438341551153558,0.6382821468233821,,
