draw_no,date,plan,any_hit,hit_types,spent,won_theory,roi_theory
4205,2015-08-07,A_5mini_hot,0,,1000,0.0,-1.0
4205,2015-08-07,B_5mini_unseen,0,,1000,0.0,-1.0
4205,2015-08-07,C_4mini_1box_hot,0,,1000,0.0,-1.0
4205,2015-08-07,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4205,2015-08-07,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4205,2015-08-07,F_5mini_random,0,,1000,0.0,-1.0
4206,2015-08-10,A_5mini_hot,0,,1000,0.0,-1.0
4206,2015-08-10,B_5mini_unseen,0,,1000,0.0,-1.0
4206,2015-08-10,C_4mini_1box_hot,0,,1000,0.0,-1.0
4206,2015-08-10,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4206,2015-08-10,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4206,2015-08-10,F_5mini_random,0,,1000,0.0,-1.0
4207,2015-08-11,A_5mini_hot,0,,1000,0.0,-1.0
4207,2015-08-11,B_5mini_unseen,0,,1000,0.0,-1.0
4207,2015-08-11,C_4mini_1box_hot,0,,1000,0.0,-1.0
4207,2015-08-11,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4207,2015-08-11,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4207,2015-08-11,F_5mini_random,0,,1000,0.0,-1.0
4208,2015-08-12,A_5mini_hot,0,,1000,0.0,-1.0
4208,2015-08-12,B_5mini_unseen,0,,1000,0.0,-1.0
4208,2015-08-12,C_4mini_1box_hot,0,,1000,0.0,-1.0
4208,2015-08-12,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4208,2015-08-12,E_3mini_1set_1straight_prev,1,mini,1000,9000.0,8.0
4208,2015-08-12,F_5mini_random,0,,1000,0.0,-1.0
4209,2015-08-13,A_5mini_hot,0,,1000,0.0,-1.0
4209,2015-08-13,B_5mini_unseen,0,,1000,0.0,-1.0
4209,2015-08-13,C_4mini_1box_hot,0,,1000,0.0,-1.0
4209,2015-08-13,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4209,2015-08-13,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4209,2015-08-13,F_5mini_random,0,,1000,0.0,-1.0
4210,2015-08-14,A_5mini_hot,0,,1000,0.0,-1.0
4210,2015-08-14,B_5mini_unseen,0,,1000,0.0,-1.0
4210,2015-08-14,C_4mini_1box_hot,0,,1000,0.0,-1.0
4210,2015-08-14,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4210,2015-08-14,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4210,2015-08-14,F_5mini_random,0,,1000,0.0,-1.0
4211,2015-08-17,A_5mini_hot,0,,1000,0.0,-1.0
4211,2015-08-17,B_5mini_unseen,0,,1000,0.0,-1.0
4211,2015-08-17,C_4mini_1box_hot,0,,1000,0.0,-1.0
4211,2015-08-17,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4211,2015-08-17,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4211,2015-08-17,F_5mini_random,0,,1000,0.0,-1.0
4212,2015-08-18,A_5mini_hot,0,,1000,0.0,-1.0
4212,2015-08-18,B_5mini_unseen,0,,1000,0.0,-1.0
4212,2015-08-18,C_4mini_1box_hot,0,,1000,0.0,-1.0
4212,2015-08-18,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4212,2015-08-18,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4212,2015-08-18,F_5mini_random,0,,1000,0.0,-1.0
4213,2015-08-19,A_5mini_hot,1,mini,1000,9000.0,8.0
4213,2015-08-19,B_5mini_unseen,0,,1000,0.0,-1.0
4213,2015-08-19,C_4mini_1box_hot,0,,1000,0.0,-1.0
4213,2015-08-19,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4213,2015-08-19,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4213,2015-08-19,F_5mini_random,0,,1000,0.0,-1.0
4214,2015-08-20,A_5mini_hot,0,,1000,0.0,-1.0
4214,2015-08-20,B_5mini_unseen,0,,1000,0.0,-1.0
4214,2015-08-20,C_4mini_1box_hot,0,,1000,0.0,-1.0
4214,2015-08-20,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4214,2015-08-20,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4214,2015-08-20,F_5mini_random,0,,1000,0.0,-1.0
4215,2015-08-21,A_5mini_hot,0,,1000,0.0,-1.0
4215,2015-08-21,B_5mini_unseen,0,,1000,0.0,-1.0
4215,2015-08-21,C_4mini_1box_hot,0,,1000,0.0,-1.0
4215,2015-08-21,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4215,2015-08-21,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4215,2015-08-21,F_5mini_random,0,,1000,0.0,-1.0
4216,2015-08-24,A_5mini_hot,0,,1000,0.0,-1.0
4216,2015-08-24,B_5mini_unseen,0,,1000,0.0,-1.0
4216,2015-08-24,C_4mini_1box_hot,0,,1000,0.0,-1.0
4216,2015-08-24,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4216,2015-08-24,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4216,2015-08-24,F_5mini_random,1,mini,1000,9000.0,8.0
4217,2015-08-25,A_5mini_hot,0,,1000,0.0,-1.0
4217,2015-08-25,B_5mini_unseen,0,,1000,0.0,-1.0
4217,2015-08-25,C_4mini_1box_hot,0,,1000,0.0,-1.0
4217,2015-08-25,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4217,2015-08-25,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4217,2015-08-25,F_5mini_random,0,,1000,0.0,-1.0
4218,2015-08-26,A_5mini_hot,0,,1000,0.0,-1.0
4218,2015-08-26,B_5mini_unseen,0,,1000,0.0,-1.0
4218,2015-08-26,C_4mini_1box_hot,0,,1000,0.0,-1.0
4218,2015-08-26,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4218,2015-08-26,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4218,2015-08-26,F_5mini_random,0,,1000,0.0,-1.0
4219,2015-08-27,A_5mini_hot,0,,1000,0.0,-1.0
4219,2015-08-27,B_5mini_unseen,0,,1000,0.0,-1.0
4219,2015-08-27,C_4mini_1box_hot,0,,1000,0.0,-1.0
4219,2015-08-27,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4219,2015-08-27,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4219,2015-08-27,F_5mini_random,0,,1000,0.0,-1.0
4220,2015-08-28,A_5mini_hot,0,,1000,0.0,-1.0
4220,2015-08-28,B_5mini_unseen,0,,1000,0.0,-1.0
4220,2015-08-28,C_4mini_1box_hot,0,,1000,0.0,-1.0
4220,2015-08-28,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4220,2015-08-28,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4220,2015-08-28,F_5mini_random,0,,1000,0.0,-1.0
4221,2015-08-31,A_5mini_hot,0,,1000,0.0,-1.0
4221,2015-08-31,B_5mini_unseen,0,,1000,0.0,-1.0
4221,2015-08-31,C_4mini_1box_hot,0,,1000,0.0,-1.0
4221,2015-08-31,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4221,2015-08-31,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4221,2015-08-31,F_5mini_random,0,,1000,0.0,-1.0
4222,2015-09-01,A_5mini_hot,0,,1000,0.0,-1.0
4222,2015-09-01,B_5mini_unseen,0,,1000,0.0,-1.0
4222,2015-09-01,C_4mini_1box_hot,0,,1000,0.0,-1.0
4222,2015-09-01,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4222,2015-09-01,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4222,2015-09-01,F_5mini_random,0,,1000,0.0,-1.0
4223,2015-09-02,A_5mini_hot,0,,1000,0.0,-1.0
4223,2015-09-02,B_5mini_unseen,0,,1000,0.0,-1.0
4223,2015-09-02,C_4mini_1box_hot,0,,1000,0.0,-1.0
4223,2015-09-02,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4223,2015-09-02,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4223,2015-09-02,F_5mini_random,0,,1000,0.0,-1.0
4224,2015-09-03,A_5mini_hot,0,,1000,0.0,-1.0
4224,2015-09-03,B_5mini_unseen,0,,1000,0.0,-1.0
4224,2015-09-03,C_4mini_1box_hot,0,,1000,0.0,-1.0
4224,2015-09-03,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4224,2015-09-03,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4224,2015-09-03,F_5mini_random,0,,1000,0.0,-1.0
4225,2015-09-04,A_5mini_hot,0,,1000,0.0,-1.0
4225,2015-09-04,B_5mini_unseen,0,,1000,0.0,-1.0
4225,2015-09-04,C_4mini_1box_hot,1,box,1000,15000.0,14.0
4225,2015-09-04,D_3mini_1box_1straight,1,"box,straight",1000,105000.0,104.0
4225,2015-09-04,E_3mini_1set_1straight_prev,1,set_straight,1000,52500.0,51.5
4225,2015-09-04,F_5mini_random,0,,1000,0.0,-1.0
4226,2015-09-07,A_5mini_hot,0,,1000,0.0,-1.0
4226,2015-09-07,B_5mini_unseen,0,,1000,0.0,-1.0
4226,2015-09-07,C_4mini_1box_hot,0,,1000,0.0,-1.0
4226,2015-09-07,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4226,2015-09-07,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4226,2015-09-07,F_5mini_random,0,,1000,0.0,-1.0
4227,2015-09-08,A_5mini_hot,0,,1000,0.0,-1.0
4227,2015-09-08,B_5mini_unseen,0,,1000,0.0,-1.0
4227,2015-09-08,C_4mini_1box_hot,0,,1000,0.0,-1.0
4227,2015-09-08,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4227,2015-09-08,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4227,2015-09-08,F_5mini_random,0,,1000,0.0,-1.0
4228,2015-09-09,A_5mini_hot,0,,1000,0.0,-1.0
4228,2015-09-09,B_5mini_unseen,0,,1000,0.0,-1.0
4228,2015-09-09,C_4mini_1box_hot,0,,1000,0.0,-1.0
4228,2015-09-09,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4228,2015-09-09,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
4228,2015-09-09,F_5mini_random,0,,1000,0.0,-1.0
4229,2015-09-10,A_5mini_hot,0,,1000,0.0,-1.0
4229,2015-09-10,B_5mini_unseen,0,,1000,0.0,-1.0
4229,2015-09-10,C_4mini_1box_hot,0,,1000,0.0,-1.0
4229,2015-09-10,D_3mini_1box_1straight,0,,1000,0.0,-1.0
4229,2015-09-10,E_3mini_1set_1straight_prev,0,,1000,0.0,-1.0
