number,d100,d10,d1,sum_digits,sum_sq,parity_odd_count,is_triple,is_double,is_all_diff,has_zero,has_seven,has_eight,max_adj_diff,min_adj_diff,is_palindrome,is_sequential,is_roundish,birthdayish,pred_prize_yen,pred_winners,pred_ev_straight
690,6,9,0,15,117,1,0,0,1,1,0,0,9,3,0,0,0,0,116717.665255232,71.59481803050433,-83.282334744768
790,7,9,0,16,130,2,0,0,1,1,1,0,9,2,0,0,0,0,115673.80247933419,71.94099153455161,-84.3261975206658
670,6,7,0,13,85,1,0,0,1,1,1,0,7,1,0,0,0,0,113928.52571854996,76.07737558632726,-86.07147428145004
590,5,9,0,14,106,2,0,0,1,1,0,0,9,4,0,0,0,0,112486.2213671281,74.55799027155075,-87.51377863287189
490,4,9,0,13,97,1,0,0,1,1,0,0,9,5,0,0,0,0,112379.0594142247,73.25553749175987,-87.6209405857753
980,9,8,0,17,145,1,0,0,1,1,0,1,9,1,0,0,0,0,112166.73838224732,74.88878482618878,-87.83326161775268
560,5,6,0,11,61,1,0,0,1,1,0,0,6,1,0,0,0,0,112098.12649665191,80.02570663688513,-87.90187350334809
460,4,6,0,10,52,0,0,0,1,1,0,0,6,2,0,0,0,0,111991.33426906867,78.62773837507557,-88.00866573093133
760,7,6,0,13,85,1,0,0,1,1,1,0,7,1,0,0,0,0,111873.48145375938,79.07074085021314,-88.12651854624062
096,0,9,6,15,117,1,0,0,1,1,0,0,9,3,0,0,0,0,111736.41282048478,75.35293935680399,-88.26358717951521
970,9,7,0,16,130,2,0,0,1,1,1,0,9,2,0,0,0,0,111538.38807522178,77.71359327977181,-88.46161192477821
680,6,8,0,14,100,0,0,0,1,1,0,1,8,2,0,0,0,0,111189.8950385874,75.07224094535137,-88.81010496141259
960,9,6,0,15,117,1,0,0,1,1,0,0,9,3,0,0,0,0,110514.84508720516,80.38267337319357,-89.48515491279484
780,7,8,0,15,113,1,0,0,1,1,1,1,8,1,0,0,0,0,110195.46979684736,75.43522839918722,-89.80453020315264
097,0,9,7,16,130,2,0,0,1,1,1,0,9,2,0,0,0,0,109935.04723911596,76.36566340134796,-90.06495276088404
570,5,7,0,12,74,2,0,0,1,1,1,0,7,2,0,0,0,0,109798.1983788259,79.22607228966986,-90.2018016211741
470,4,7,0,11,65,1,0,0,1,1,1,0,7,3,0,0,0,0,109693.59721771881,77.84207283220377,-90.30640278228118
094,0,9,4,13,97,1,0,0,1,1,0,0,9,5,0,0,0,0,109158.48048300229,75.7971479797662,-90.8415195169977
076,0,7,6,13,85,1,0,0,1,1,1,0,7,1,0,0,0,0,109066.30760545052,80.07079320375969,-90.93369239454948
064,0,6,4,10,52,0,0,0,1,1,0,0,6,2,0,0,0,0,108781.86683352973,81.35573807782544,-91.21813316647027
