number,d100,d10,d1,sum_digits,sum_sq,parity_odd_count,is_triple,is_double,is_all_diff,has_zero,has_seven,has_eight,max_adj_diff,min_adj_diff,is_palindrome,is_sequential,is_roundish,birthdayish,pred_prize_yen,pred_winners,pred_ev_straight
690,6,9,0,15,117,1,0,0,1,1,0,0,9,3,0,0,0,0,116717.665255232,71.59481803050433,-83.282334744768
590,5,9,0,14,106,2,0,0,1,1,0,0,9,4,0,0,0,0,112486.2213671281,74.55799027155075,-87.51377863287189
490,4,9,0,13,97,1,0,0,1,1,0,0,9,5,0,0,0,0,112379.0594142247,73.25553749175987,-87.6209405857753
980,9,8,0,17,145,1,0,0,1,1,0,1,9,1,0,0,0,0,112166.73838224732,74.88878482618878,-87.83326161775268
560,5,6,0,11,61,1,0,0,1,1,0,0,6,1,0,0,0,0,112098.12649665191,80.02570663688513,-87.90187350334809
460,4,6,0,10,52,0,0,0,1,1,0,0,6,2,0,0,0,0,111991.33426906867,78.62773837507557,-88.00866573093133
096,0,9,6,15,117,1,0,0,1,1,0,0,9,3,0,0,0,0,111736.41282048478,75.35293935680399,-88.26358717951521
680,6,8,0,14,100,0,0,0,1,1,0,1,8,2,0,0,0,0,111189.8950385874,75.07224094535137,-88.81010496141259
960,9,6,0,15,117,1,0,0,1,1,0,0,9,3,0,0,0,0,110514.84508720516,80.38267337319357,-89.48515491279484
094,0,9,4,13,97,1,0,0,1,1,0,0,9,5,0,0,0,0,109158.48048300229,75.7971479797662,-90.8415195169977
064,0,6,4,10,52,0,0,0,1,1,0,0,6,2,0,0,0,0,108781.86683352973,81.35573807782544,-91.21813316647027
095,0,9,5,14,106,2,0,0,1,1,0,0,9,4,0,0,0,0,108471.19859719953,77.80539285505033,-91.52880140280047
650,6,5,0,11,61,1,0,0,1,1,0,0,6,1,0,0,1,0,108374.77587858391,88.80550502285998,-91.62522412141608
390,3,9,0,12,90,2,0,0,1,1,0,0,9,6,0,0,0,0,108301.19779959766,75.89054671408637,-91.69880220040234
290,2,9,0,11,85,1,0,0,1,1,0,0,9,7,0,0,0,0,108194.31832432092,74.17688074121173,-91.80568167567908
065,0,6,5,11,61,1,0,0,1,1,0,0,6,1,0,0,0,0,108096.95617658712,83.51125775665777,-91.90304382341287
640,6,4,0,10,52,0,0,0,1,1,0,0,6,2,0,0,0,0,107987.5705218294,84.93688994617509,-92.01242947817059
360,3,6,0,9,45,1,0,0,1,1,0,0,6,3,0,0,0,0,107927.54190804386,81.45598621602961,-92.07245809195614
260,2,6,0,8,40,0,0,0,1,1,0,0,6,4,0,0,0,0,107821.03118349578,79.61664840770882,-92.17896881650421
450,4,5,0,9,41,1,0,0,1,1,0,0,5,1,0,0,1,0,107518.6736764018,88.73494695570915,-92.4813263235982
