rule,support,hits,rate,base_rate,lift,lift_ratio,p_value
prev_sum_le_9 => next_sum_gt_prev,1519,1314,0.8650427913100724,0.4716630977872948,0.39337969352277763,1.8340268623265912,1.32742674584677e-226
prev_sum_ge_18 => next_sum_gt_prev,1532,137,0.08942558746736293,0.4716630977872948,-0.3822375103199319,0.1895963196758103,6.81223075818403e-233
prev_has_zero => next_sum_gt_prev,1909,1347,0.7056050288108957,0.4716630977872948,0.2339419310236009,1.4959937127180158,7.93347577033689e-95
prev_double => next_shares_digit_with_prev,1923,934,0.48569942797711907,0.6107066381156316,-0.12500721013851257,0.7953072681112013,1.6587765213055754e-28
prev_all_diff => next_shares_digit_with_prev,5027,3327,0.6618261388502089,0.6107066381156316,0.05111950073457727,1.0837054938395778,7.182017614373557e-14
prev_sum_le_9 => next_shares_digit_with_prev,1519,887,0.5839368005266623,0.6107066381156316,-0.026769837588969336,0.9561657988988476,0.03307387487971739
prev_double => next_sum_gt_prev,1923,952,0.4950598023920957,0.4716630977872948,0.023396704604800866,1.0496046960522487,0.042042685946995575
prev_has_consec => next_shares_digit_with_prev,3015,1907,0.6325041459369818,0.6107066381156316,0.02179750782135015,1.0356922726247213,0.014412991375846285
prev_sum_ge_18 => next_has_consec,1532,692,0.4516971279373368,0.430406852248394,0.021290275688942817,1.0494654664016732,0.09357157428044335
prev_weekday_mon => next_double,1480,433,0.2925675675675676,0.2743754461099215,0.018192121457646093,1.0663037517225864,0.12258204432241866
prev_sum_le_9 => next_has_consec,1519,631,0.41540487162606976,0.430406852248394,-0.015001980622324218,0.9651446519869382,0.2436605749667677
prev_weekday_mon => next_parity_odd,1480,759,0.5128378378378379,0.4980728051391863,0.014765032698651592,1.0296443261834491,0.2636852077900761
prev_weekday_mon => next_all_diff,1480,1042,0.7040540540540541,0.7177730192719486,-0.013718965217894508,0.9808867638521577,0.24802898213537705
prev_weekday_mon => next_shares_digit_with_prev,1480,885,0.597972972972973,0.6107066381156316,-0.012733665142658612,0.9791492930518177,0.324010087169306
prev_double => next_has_consec,1923,809,0.4206968278731149,0.430406852248394,-0.00971002437527907,0.9774398936156451,0.39426811696952235
