feature,window,threshold,base_rate,triggers,next_true,continuation_rate,lift_vs_base,p_value_vs_base,windows_with_pattern,window_pattern_rate
parity_odd,5,4,0.49814444761632887,1307,674,0.5156847742922723,0.017540326675943463,0.1073723818698859,1307,0.1866609540131391
parity_odd,5,3,0.49814444761632887,3474,1746,0.5025906735751295,0.004446225958800676,0.3060175248685642,3475,0.4962867752070837
parity_odd,10,7,0.49814444761632887,1191,603,0.5062972292191436,0.008152781602814685,0.29675887176017957,1191,0.17021580677433185
parity_odd,10,8,0.49814444761632887,383,198,0.5169712793733682,0.01882683175703931,0.24643293060670385,383,0.054737744747749034
parity_odd,3,2,0.49814444761632887,3462,1736,0.5014442518775274,0.0032998042611985245,0.35519581200937383,3463,0.4944317532838378
box_all_diff,5,4,0.717670568084499,3969,2831,0.7132779037540943,-0.00439266433040475,0.736943507599306,3970,0.5669808626106827
box_all_diff,5,3,0.717670568084499,6026,4338,0.719880517756389,0.0022099496718899214,0.3575544632604161,6027,0.8607540702656384
box_all_diff,10,7,0.717670568084499,4902,3533,0.7207262341901265,0.0030556661056274637,0.3236222307219067,4903,0.700728883807346
box_all_diff,10,8,0.717670568084499,3002,2161,0.7198534310459693,0.0021828629614703,0.4041371182614853,3002,0.4290410175789624
box_all_diff,3,2,0.717670568084499,5657,4080,0.7212303340993459,0.0035597660148468657,0.2814271482713623,5658,0.807824100513992
box_double,5,4,0.27447901798458463,168,50,0.2976190476190476,0.02314002963446299,0.27624326033619656,168,0.023993144815766924
box_double,5,3,0.27447901798458463,913,260,0.2847754654983571,0.010296447513772455,0.2535970746195792,913,0.1303913167666381
box_double,10,7,0.27447901798458463,60,23,0.38333333333333336,0.10885431534874873,0.04371116516898847,60,0.008575103615835357
box_double,10,8,0.27447901798458463,14,7,0.5,0.22552098201541537,0.06106853225989983,14,0.0020008575103615837
box_double,3,2,0.27447901798458463,1278,368,0.28794992175273865,0.013470903768154019,0.14745848016635948,1278,0.18246716162193033
has_consec,5,4,0.4303454182129603,774,327,0.42248062015503873,-0.007864798057921563,0.6832750219561246,774,0.11053984575835475
has_consec,5,3,0.4303454182129603,2607,1118,0.42884541618718836,-0.0015000020257719404,0.568897061248385,2607,0.3723221936589546
has_consec,10,7,0.4303454182129603,545,231,0.42385321100917434,-0.00649220720378596,0.6359119875600461,545,0.0778905245105045
has_consec,10,8,0.4303454182129603,144,66,0.4583333333333333,0.02798791512037302,0.27542576273016717,144,0.02058024867800486
has_consec,3,2,0.4303454182129603,2789,1184,0.4245249193259233,-0.005820498887037007,0.738722665965319,2789,0.39820102798400914
has_zero,5,4,0.27248073080216956,162,42,0.25925925925925924,-0.013221471542910312,0.6756023720833748,163,0.02327906312482148
has_zero,5,3,0.27248073080216956,886,250,0.28216704288939054,0.009686312087220983,0.2698058524977289,887,0.1266780919737218
has_zero,10,7,0.27248073080216956,43,14,0.32558139534883723,0.053100664546667675,0.26546098982793687,43,0.006145490924682006
has_zero,10,8,0.27248073080216956,9,2,0.2222222222222222,-0.05025850857994735,0.7504474158027639,9,0.0012862655423753037
has_zero,3,2,0.27248073080216956,1269,343,0.2702915681639086,-0.0021891626382609664,0.5800733654329476,1270,0.18132495716733296
has_seven,5,4,0.27105338281473024,126,23,0.18253968253968253,-0.08851370027504771,0.9922501053175662,126,0.017994858611825194
has_seven,5,3,0.27105338281473024,960,249,0.259375,-0.011678382814730215,0.8020044806935082,960,0.13710368466152528
has_seven,10,7,0.27105338281473024,31,9,0.2903225806451613,0.019269197830431073,0.47188794371737963,31,0.004430470201514935
has_seven,10,8,0.27105338281473024,4,1,0.25,-0.021053382814730237,0.7176531808174276,4,0.0005716735743890238
has_seven,3,2,0.27105338281473024,1283,354,0.2759158222915043,0.004862439476774061,0.35771689894814357,1283,0.18318103940605368
sum_ge_15,5,4,0.42877533542677704,791,348,0.43994943109987356,0.011174095673096518,0.2742051268439147,791,0.11296772350756927
sum_ge_15,5,3,0.42877533542677704,2595,1130,0.43545279383429675,0.00667745840751971,0.25206624781327097,2595,0.37060839760068554
sum_ge_15,10,7,0.42877533542677704,581,236,0.40619621342512907,-0.022579122001647967,0.8733320684259915,581,0.08303558668000571
sum_ge_15,10,8,0.42877533542677704,155,67,0.432258064516129,0.003482729089351988,0.4958813613517897,155,0.022152351007574674
sum_ge_15,3,2,0.42877533542677704,2779,1195,0.43001079525008995,0.0012354598233129122,0.4548845108243037,2779,0.39677327241576243
sum_le_12,5,4,0.4206394518983728,766,334,0.4360313315926893,0.01539187969431649,0.20413971949812604,766,0.10939731505284205
