feature,window,threshold,base_rate,triggers,next_true,continuation_rate,lift_vs_base,p_value_vs_base,windows_with_pattern,window_pattern_rate,abs_lift
digit_repeat_any_pos_vs_prev,10,8,0.2764773051669997,1,0,0.0,-0.2764773051669997,1.0,1,0.00014291839359725596,0.2764773051669997
box_double,10,8,0.27447901798458463,14,7,0.5,0.22552098201541537,0.06106853225989983,14,0.0020008575103615837,0.22552098201541537
digit_repeat_any_pos_vs_prev,10,7,0.2764773051669997,53,6,0.11320754716981132,-0.16326975799718838,0.9988921336611261,53,0.007574674860654566,0.16326975799718838
box_double,10,7,0.27447901798458463,60,23,0.38333333333333336,0.10885431534874873,0.04371116516898847,60,0.008575103615835357,0.10885431534874873
has_seven,5,4,0.27105338281473024,126,23,0.18253968253968253,-0.08851370027504771,0.9922501053175662,126,0.017994858611825194,0.08851370027504771
sum_le_12,10,8,0.4206394518983728,135,67,0.4962962962962963,0.07565684439792347,0.045804708426675694,135,0.019293983135629557,0.07565684439792347
has_zero,10,7,0.27248073080216956,43,14,0.32558139534883723,0.053100664546667675,0.26546098982793687,43,0.006145490924682006,0.053100664546667675
has_zero,10,8,0.27248073080216956,9,2,0.2222222222222222,-0.05025850857994735,0.7504474158027639,9,0.0012862655423753037,0.05025850857994735
has_consec,10,8,0.4303454182129603,144,66,0.4583333333333333,0.02798791512037302,0.27542576273016717,144,0.02058024867800486,0.02798791512037302
box_double,5,4,0.27447901798458463,168,50,0.2976190476190476,0.02314002963446299,0.27624326033619656,168,0.023993144815766924,0.02314002963446299
sum_ge_15,10,7,0.42877533542677704,581,236,0.40619621342512907,-0.022579122001647967,0.8733320684259915,581,0.08303558668000571,0.022579122001647967
has_seven,10,8,0.27105338281473024,4,1,0.25,-0.021053382814730237,0.7176531808174276,4,0.0005716735743890238,0.021053382814730237
has_seven,10,7,0.27105338281473024,31,9,0.2903225806451613,0.019269197830431073,0.47188794371737963,31,0.004430470201514935,0.019269197830431073
parity_odd,10,8,0.49814444761632887,383,198,0.5169712793733682,0.01882683175703931,0.24643293060670385,383,0.054737744747749034,0.01882683175703931
parity_odd,5,4,0.49814444761632887,1307,674,0.5156847742922723,0.017540326675943463,0.1073723818698859,1307,0.1866609540131391,0.017540326675943463
sum_le_12,5,4,0.4206394518983728,766,334,0.4360313315926893,0.01539187969431649,0.20413971949812604,766,0.10939731505284205,0.01539187969431649
digit_repeat_any_pos_vs_prev,5,3,0.2764773051669997,982,285,0.29022403258655805,0.013746727419558347,0.17663872749947904,982,0.14024564410168525,0.013746727419558347
box_double,3,2,0.27447901798458463,1278,368,0.28794992175273865,0.013470903768154019,0.14745848016635948,1278,0.18246716162193033,0.013470903768154019
digit_repeat_any_pos_vs_prev,5,4,0.2764773051669997,171,45,0.2631578947368421,-0.013319410430157608,0.6789589074754582,171,0.02442159383033419,0.013319410430157608
sum_le_12,3,2,0.4206394518983728,2671,1159,0.43391988019468364,0.01328042829631082,0.08536388783381439,2671,0.3813535122786979,0.01328042829631082
has_zero,5,4,0.27248073080216956,162,42,0.25925925925925924,-0.013221471542910312,0.6756023720833748,163,0.02327906312482148,0.013221471542910312
has_seven,5,3,0.27105338281473024,960,249,0.259375,-0.011678382814730215,0.8020044806935082,960,0.13710368466152528,0.011678382814730215
sum_ge_15,5,4,0.42877533542677704,791,348,0.43994943109987356,0.011174095673096518,0.2742051268439147,791,0.11296772350756927,0.011174095673096518
box_double,5,3,0.27447901798458463,913,260,0.2847754654983571,0.010296447513772455,0.2535970746195792,913,0.1303913167666381,0.010296447513772455
sum_le_12,10,7,0.4206394518983728,513,221,0.43079922027290446,0.010159768374531641,0.33603504518278765,514,0.07346005430898957,0.010159768374531641
