feature,value,n,avg_winners,median_winners,avg_prize,median_prize
is_triple,0,6137,122.53707022975395,99.0,93459.05165390256,93100.0
is_triple,1,46,573.4565217391304,521.5,74254.34782608696,71400.0
is_double,0,4477,126.40987268259995,99.0,90871.14138932321,90700.0
is_double,1,1706,124.53223915592028,101.0,99732.59085580305,99950.0
is_all_diff,0,1752,136.31906392694063,102.0,99063.64155251141,99450.0
is_all_diff,1,4431,121.76890092529904,98.0,91043.64703227262,90800.0
is_palindrome,0,5587,122.47180955790228,99.0,92603.97350993377,92300.0
is_palindrome,1,596,157.9513422818792,103.0,99992.44966442953,98900.0
is_sequential,0,6043,125.68641403276519,99.0,93454.59209002151,93100.0
is_sequential,1,140,134.75714285714287,107.0,87341.42857142857,86600.0
is_roundish,0,5992,125.57076101468625,99.0,93226.33511348465,92800.0
is_roundish,1,191,135.9633507853403,111.0,96134.55497382199,97600.0
birthdayish,0,5455,121.71879010082493,96.0,94502.84142988085,94400.0
birthdayish,1,728,157.16071428571428,125.0,84424.31318681319,82450.0
has_zero,0,4502,129.72145713016437,103.5,90448.51177254553,89900.0
has_zero,1,1681,115.63533610945865,90.0,100996.252230815,101600.0
has_seven,0,4494,128.2307521139297,100.0,92877.97062750334,92500.0
has_seven,1,1689,119.66844286560095,96.0,94482.1195973949,94300.0
has_eight,0,4475,128.31977653631284,100.0,93585.54189944133,93100.0
has_eight,1,1708,119.5304449648712,97.0,92610.42154566744,92400.0
parity_odd_count,0,806,131.00992555831266,98.0,98638.95781637717,99000.0
parity_odd_count,1,2292,120.09685863874346,96.0,94687.30366492146,94800.0
parity_odd_count,2,2299,124.8812527185733,101.0,90849.02131361462,90700.0
parity_odd_count,3,786,140.49745547073792,105.0,91075.95419847328,90350.0
sum_bucket,0-6,508,143.5748031496063,102.5,94450.1968503937,93050.0
sum_bucket,7-12,2094,131.98042024832856,105.5,89519.14995224451,88300.0
sum_bucket,13-18,2590,123.34980694980695,99.0,92034.09266409266,91800.0
sum_bucket,19-27,991,110.60544904137235,85.0,104108.7790110999,103700.0
