draw_no,date,number,straight_prize_yen,straight_winners,pred_prize,pred_winners,actual_ev_proxy,pred_ev_proxy
3297,2012-01-30,181,96400,126.0,89771.23394500925,132.6400061155048,-103.6,-110.22876605499074
3298,2012-01-31,718,64500,115.0,72116.57706904357,177.06371097801886,-135.5,-127.88342293095643
3299,2012-02-01,076,106400,73.0,115826.38305168464,96.09723855133805,-93.6,-84.17361694831536
3300,2012-02-02,782,110000,52.0,93137.29604405686,112.09633223795703,-90.0,-106.86270395594315
3301,2012-02-03,768,96300,75.0,97106.88741428975,121.13903671342608,-103.7,-102.89311258571024
3302,2012-02-06,871,91400,84.0,87616.74100838735,120.93554052083242,-108.6,-112.38325899161265
3303,2012-02-07,933,123700,63.0,89421.13399425373,156.46706687126587,-76.3,-110.57886600574626
3304,2012-02-08,890,83600,73.0,113061.21851687721,100.93211030585881,-116.39999999999999,-86.93878148312278
3305,2012-02-09,359,88300,85.0,84572.38164575546,147.10061650120608,-111.7,-115.42761835424453
3306,2012-02-10,005,129000,68.0,96167.03489264224,157.41513625178808,-71.0,-103.83296510735775
3307,2012-02-13,732,101200,81.0,82663.6115787925,145.19499811995595,-98.8,-117.3363884212075
3308,2012-02-14,219,69800,121.0,68211.19656226928,195.1388917987327,-130.2,-131.78880343773073
3309,2012-02-15,059,117600,70.0,104292.38451972074,116.62262823293396,-82.39999999999999,-95.70761548027926
3310,2012-02-16,668,126000,65.0,104794.78427020618,127.79574358507995,-74.0,-95.20521572979382
3311,2012-02-17,629,83200,89.0,81429.09273041358,158.36857445724175,-116.8,-118.57090726958641
3312,2012-02-20,563,102700,111.0,92534.55013834138,128.99767688666608,-97.3,-107.46544986165861
3313,2012-02-21,126,69200,148.0,72650.45532286227,178.9279282425591,-130.8,-127.34954467713773
3314,2012-02-22,141,93900,82.0,90231.7341033329,148.37116483089073,-106.1,-109.7682658966671
3315,2012-02-23,366,128900,53.0,100784.29773109367,133.11137063830444,-71.1,-99.21570226890633
3316,2012-02-24,267,88900,79.0,90049.36072440511,127.23795832050604,-111.1,-109.9506392755949
3317,2012-02-27,343,114100,137.0,95947.37495645942,147.10063816723033,-85.89999999999999,-104.05262504354057
3318,2012-02-28,490,112600,80.0,122562.1025654588,85.30703720050039,-87.39999999999999,-77.4378974345412
3319,2012-02-29,874,71500,142.0,95417.39068994665,116.06217544009016,-128.5,-104.58260931005334
3320,2012-03-01,012,103900,75.0,87921.47678053545,167.2317011844878,-96.1,-112.07852321946454
3321,2012-03-02,007,98300,90.0,93982.3963220983,156.2746824193413,-101.7,-106.0176036779017
3322,2012-03-05,976,110500,73.0,106065.893503966,108.75084840688766,-89.5,-93.934106496034
3323,2012-03-06,833,133600,60.0,84966.08294600216,162.46734520235597,-66.4,-115.03391705399784
3324,2012-03-07,017,122400,62.0,87808.23241241148,149.64830835211777,-77.6,-112.19176758758852
3325,2012-03-08,940,156800,51.0,110697.43757802948,105.71861552007663,-43.19999999999999,-89.30256242197052
3326,2012-03-09,422,87500,110.0,91102.51174694185,152.3973744833795,-112.5,-108.89748825305816
3327,2012-03-12,771,123300,95.0,98617.86504707295,124.47856572937556,-76.7,-101.38213495292705
3328,2012-03-13,300,114300,62.0,106586.48374655633,136.82287574718708,-85.7,-93.41351625344366
3329,2012-03-14,906,120800,58.0,99498.48420276798,134.27829387502655,-79.2,-100.50151579723202
3330,2012-03-15,552,92300,83.0,95678.49382575022,140.96480170008095,-107.7,-104.32150617424978
3331,2012-03-16,136,70900,86.0,77923.97998094872,160.63587854268533,-129.1,-122.07602001905128
3332,2012-03-19,160,114100,96.0,111561.56731495293,100.82074962390223,-85.89999999999999,-88.43843268504706
3333,2012-03-20,800,103100,77.0,99810.65696091315,139.15500041442715,-96.89999999999999,-100.18934303908685
3334,2012-03-21,241,101300,72.0,84691.08528155615,138.98960501040486,-98.7,-115.30891471844384
3335,2012-03-22,158,95200,97.0,76373.04636579788,155.56195840578692,-104.8,-123.62695363420211
3336,2012-03-23,228,93900,93.0,75252.26571099869,190.6511925598433,-106.1,-124.74773428900131
3337,2012-03-26,226,79600,173.0,81940.8752985544,178.2475467648754,-120.39999999999999,-118.0591247014456
3338,2012-03-27,599,110200,83.0,114693.56060119458,112.0471376932546,-89.8,-85.30643939880542
3339,2012-03-28,124,92600,84.0,74561.14944795727,173.89210971861058,-107.39999999999999,-125.43885055204272
3340,2012-03-29,594,102900,60.0,100479.35927250674,110.56044004653802,-97.1,-99.52064072749326
3341,2012-03-30,627,82400,118.0,82218.88026799509,154.02392346370502,-117.6,-117.78111973200491
3342,2012-04-02,860,113800,94.0,113645.18091343483,96.98607097160811,-86.2,-86.35481908656517
3343,2012-04-03,766,108300,61.0,111359.22652767201,119.69952341210966,-91.7,-88.64077347232798
3344,2012-04-04,575,106600,74.0,106219.67009781365,125.65936279398316,-93.39999999999999,-93.78032990218635
3345,2012-04-05,895,147500,26.0,102677.4367090217,107.40251688004491,-52.5,-97.3225632909783
3346,2012-04-06,952,89800,127.0,88583.80106271194,132.33266634324957,-110.2,-111.41619893728806
3347,2012-04-09,790,132200,62.0,126906.83940276886,80.0200403247331,-67.80000000000001,-73.09316059723113
3348,2012-04-10,284,107500,52.0,88564.5023666989,120.75829149249293,-92.5,-111.4354976333011
3349,2012-04-11,175,72500,86.0,85619.632975393,129.9911099173436,-127.5,-114.380367024607
3350,2012-04-12,916,67400,160.0,77783.19822175156,165.95623992751058,-132.6,-122.21680177824844
3351,2012-04-13,098,91600,100.0,105623.85974208193,109.19673888533715,-108.39999999999999,-94.37614025791807
3352,2012-04-16,789,80600,120.0,95048.9846055622,129.44569670044353,-119.39999999999999,-104.95101539443779
3353,2012-04-17,667,103400,103.0,110606.44002395801,119.49301222911885,-96.6,-89.39355997604198
3354,2012-04-18,105,105400,82.0,88370.9705929716,155.4150854490781,-94.6,-111.6290294070284
3355,2012-04-19,278,92800,87.0,86878.05098871469,125.30103152079283,-107.2,-113.12194901128531
3356,2012-04-20,420,35900,391.0,107429.31926948344,113.86501036742362,-164.1,-92.57068073051656
3357,2012-04-23,451,102600,85.0,86296.61283762878,135.67499462698498,-97.39999999999999,-113.70338716237121
3358,2012-04-24,378,93800,85.0,87648.06402246088,127.94317319761295,-106.2,-112.35193597753911
3359,2012-04-25,994,114800,75.0,118291.13352289576,102.05735319373153,-85.2,-81.70886647710424
3360,2012-04-26,322,71300,164.0,84844.11665338505,169.73068236342445,-128.7,-115.15588334661496
3361,2012-04-27,564,99300,83.0,96808.44161117382,123.56609934719901,-100.7,-103.19155838882617
3362,2012-04-30,448,91200,129.0,91117.8743833975,148.3342213615663,-108.8,-108.8821256166025
3363,2012-05-01,905,133000,60.0,97049.04638378578,137.4901515356994,-67.0,-102.95095361621422
3364,2012-05-02,138,70400,72.0,71747.0182485166,170.00629313471177,-129.6,-128.2529817514834
3365,2012-05-03,064,118100,80.0,114277.09347928538,100.12604653812944,-81.89999999999999,-85.72290652071462
3366,2012-05-04,409,100000,70.0,94748.71086798933,140.51207314498674,-100.0,-105.25128913201067
