method,k,hits,n,top_k_hit_rate,null_rate,lift,p_value,p_holm,beat_null_raw_p05,promoted_axis
cold_freq,5,164,2803,0.05850874063503389,0.05,0.008508740635033887,0.023491607917725036,0.3288825108481505,True,False
recency_hl15,5,149,2803,0.053157331430610064,0.05,0.003157331430610061,0.23273246870686443,1.0,False,False
recency_hl40,5,149,2803,0.053157331430610064,0.05,0.003157331430610061,0.23273246870686443,1.0,False,False
slide_neighborhood,5,148,2803,0.05280057081698181,0.05,0.002800570816981804,0.2595574905059288,1.0,False,False
uniform,5,145,2803,0.051730288976097036,0.05,0.001730288976097033,0.34896954922033696,1.0,False,False
digit_markov_product,5,140,2803,0.049946485907955765,0.05,-5.351409204423785e-05,0.5172890880490908,1.0,False,False
ml_rf_topk,5,140,2803,0.049946485907955765,0.05,-5.351409204423785e-05,0.5172890880490908,1.0,False,False
empirical_freq,5,139,2803,0.04958972529432751,0.05,-0.0004102747056724948,0.5518053323559129,1.0,False,False
parity_cond_trans,5,139,2803,0.04958972529432751,0.05,-0.0004102747056724948,0.5518053323559129,1.0,False,False
ml_logreg_topk,5,138,2803,0.04923296468069925,0.05,-0.0007670353193007518,0.5860107361886784,1.0,False,False
ensemble_rank_avg,5,136,2803,0.04851944345344274,0.05,-0.0014805565465572657,0.6524852032076998,1.0,False,False
weekday_freq,5,132,2803,0.047092400998929716,0.05,-0.0029075990010702865,0.7715575961904249,1.0,False,False
month_freq,5,131,2803,0.04673564038530146,0.05,-0.0032643596146985435,0.7974357605437157,1.0,False,False
markov_last2,5,129,2803,0.04602211915804495,0.05,-0.00397788084195505,0.8437910141702532,1.0,False,False
