n_mini,n_box,n_str,units_day,yen_day,yen_week,p_day,p_miss_week,p_any_week,E_payout_week,E_net_week,return_ratio,loss_if_all_miss,approx_net_if_any_hit,upside_one_mini,upside_one_box,upside_one_straight,sim_mean,sim_p_profit,sim_p_miss_total,sim_p5,sim_p50,sim_p95,sim_max,sim_min,sim_e_pay,label,z_miss,z_p95,z_pprof,score_balanced,score_3
0,0,5,5,1000,5000,0.004990009995000988,0.9752977125970467,0.024702287402953327,2250.0,-2750.0,0.45,-5000,86084.68229266077,4000,10000,85000,-2714.0,0.02514,0.97486,-5000.0,-5000.0,-5000.0,175000.0,-5000.0,2286.0,M0B0S5,-2.0163541671130116,-2.350556137438785,-2.0093640942660564,-4.366910304551796,-4.1963142829654325
0,1,4,5,1000,5000,0.009970039975006006,0.9511339560120411,0.04886604398795891,2250.0,-2750.0,0.45,-5000,41044.24292161696,4000,10000,85000,-2771.3,0.04836,0.95164,-5000.0,-5000.0,-5000.0,190000.0,-5000.0,2228.7,M0B1S4,-1.5613893395502536,-2.350556137438785,-1.5723096569975563,-3.9119454769890387,-3.5228222367684245
0,2,3,5,1000,5000,0.014925144880035934,0.9275688752208555,0.07243112477914448,2250.0,-2750.0,0.45,-5000,26063.99364721526,4000,10000,85000,-2714.3,0.0737,0.9263,-5000.0,-5000.0,10000.0,175000.0,-5000.0,2285.7,M0B2S3,-1.117696618141318,0.8547476863413763,-1.0953518860938616,-0.2629489317999416,-1.2379987180175607
0,3,2,5,1000,5000,0.019855449460216,0.9045876375667847,0.09541236243321527,2250.0000000000005,-2749.9999999999995,0.45000000000000007,-5000,18581.849800385226,4000,10000,85000,-2750.9,0.09458,0.90542,-5000.0,-5000.0,10000.0,175000.0,-5000.0,2249.1,M0B3S2,-0.6849967277214996,0.8547476863413763,-0.702341694441567,0.16975095861987677,-0.6087937317715949
0,4,1,5,1000,5000,0.024761077841295998,0.8821757778836893,0.11782422211631072,2250.0,-2750.0,0.45,-5000,14096.243196741856,4000,10000,85000,-2772.2,0.11648,0.88352,-5000.0,-5000.0,10000.0,115000.0,-5000.0,2227.8,M0B4S1,-0.26301731238474724,0.8547476863413763,-0.2901327290591315,0.5917303739566291,0.01929016625637517
0,5,0,5,1000,5000,0.029642153527775994,0.8603191893911286,0.1396808106088714,2250.0,-2750.0,0.45,-5000,11108.15394177773,4000,10000,85000,-2738.3,0.14032,0.85968,-5000.0,-5000.0,10000.0,55000.0,-5000.0,2261.7,M0B5S0,0.1485072359463927,0.8547476863413763,0.15859155106494432,1.003254922287769,0.655176854649553
1,0,4,5,1000,5000,0.013954063959009999,0.9321498574756636,0.06785014252433641,2250.0,-2750.0,0.45,-5000,28161.315751001886,4000,10000,85000,-2753.6,0.06796,0.93204,-5000.0,-5000.0,4000.0,175000.0,-5000.0,2246.4,M1B0S4,-1.2039491755321716,-0.42737384317068816,-1.2033920441438697,-1.6313230187028598,-2.0193321191894507
1,1,3,5,1000,5000,0.018889228804060076,0.9090551224364397,0.09094487756356029,2250.0,-2750.0,0.45,-5000,19740.260917141837,4000,10000,85000,-2774.96,0.09164,0.90836,-5000.0,-5000.0,4000.0,175000.0,-5000.0,2225.04,M1B1S3,-0.7691123111661314,-0.42737384317068816,-0.7576793363696199,-1.1964861543368195,-1.3616389009362855
1,2,2,5,1000,5000,0.023799693124360033,0.8865325773538575,0.11346742264614251,2250.0,-2750.0,0.45,-5000,14829.480105640629,4000,10000,85000,-2695.4,0.11498,0.88502,-5000.0,-5000.0,10000.0,175000.0,-5000.0,2304.6,M1B2S2,-0.3450488670686166,0.8547476863413763,-0.3183662198387504,0.5096988192727597,-0.07685813381730364
1,3,1,5,1000,5000,0.028685580546159994,0.8645680457783521,0.1354319542216479,2250.0000000000005,-2749.9999999999995,0.45000000000000007,-5000,11613.50907126136,4000,10000,85000,-2769.2,0.13648,0.86352,-5000.0,-5000.0,10000.0,175000.0,-5000.0,2230.8,M1B3S1,0.0685080765958303,0.8547476863413763,0.08631381466911983,0.9232557629372067,0.5390388271010784
1,4,0,5,1000,5000,0.033547014076960036,0.8431477024928824,0.1568522975071176,2250.0,-2750.0,0.45,-5000,9344.70540603908,4000,10000,85000,-2718.5,0.15814,0.84186,-5000.0,-5000.0,10000.0,40000.0,-5000.0,2281.5,M1B4S0,0.4718188265169011,0.8547476863413763,0.4940054215268165,1.3265665128582773,1.1461953804509974
2,0,3,5,1000,5000,0.022937060980000035,0.8904564864788432,0.10954351352115677,2250.0,-2750.0,0.45,-5000,15539.783029375307,4000,10000,85000,-2791.94,0.10794,0.89206,-5000.0,-5000.0,4000.0,175000.0,-5000.0,2208.06,M2B0S3,-0.4189297900178602,-0.42737384317068816,-0.45087540323109504,-0.8463036331885483,-0.8580544132187518
2,1,2,5,1000,5000,0.02782726587999995,0.8683947370141406,0.1316052629858594,2250.0,-2750.0,0.45,-5000,12096.580706212,4000,10000,85000,-2747.0,0.12924,0.87076,-5000.0,-5000.0,4000.0,265000.0,-5000.0,2253.0,M2B1S2,-0.003542389237234109,-0.42737384317068816,-0.04995983416050716,-0.43091623240792226,-0.24220922790283175
2,2,1,5,1000,5000,0.032692995280000026,0.8468795844880119,0.15312041551198807,2250.0,-2750.0,0.45,-5000,9694.31749173802,4000,10000,85000,-2731.58,0.15492,0.84508,-5000.0,-5000.0,10000.0,109000.0,-5000.0,2268.42,M2B2S1,0.40155346680655474,0.8547476863413763,0.433397527986568,1.2563011531479311,1.045626073970527
2,3,0,5,1000,5000,0.03753437168000007,0.8258974865377485,0.17410251346225147,2250.0000000000005,-2749.9999999999995,0.45000000000000007,-5000,7923.420548364687,4000,10000,85000,-2774.54,0.17394,0.82606,-5000.0,-5000.0,10000.0,40000.0,-5000.0,2225.46,M2B3S0,0.7966127591092332,0.8547476863413763,0.7913981910721354,1.6513604454506097,1.6196856978159893
3,0,2,5,1000,5000,0.03193902999999998,0.8501852256061915,0.14981477439380853,2250.0,-2750.0,0.45,-5000,10018.545461247826,4000,10000,85000,-2771.06,0.14896,0.85104,-5000.0,-5000.0,4000.0,175000.0,-5000.0,2228.94,M3B0S2,0.3393135399960781,-0.42737384317068816,0.32121645795554915,-0.08806030317461006,0.2862348473885086
3,1,1,5,1000,5000,0.036784180000000055,0.8291212278356931,0.1708787721643069,2250.0,-2750.0,0.45,-5000,8167.229442850474,4000,10000,85000,-2698.1,0.17182,0.82818,-5000.0,-5000.0,4000.0,175000.0,-5000.0,2301.9,M3B1S1,0.7359148747150319,-0.42737384317068816,0.7514948574369406,0.30854103154434376,0.8979753818481582
3,2,0,5,1000,5000,0.04160507999999996,0.8085791069323913,0.19142089306760868,2250.0,-2750.0,0.45,-5000,6754.202814241986,4000,10000,85000,-2742.86,0.19238,0.80762,-5000.0,-5000.0,10000.0,43000.0,-5000.0,2257.14,M3B2S0,1.1226901040410668,0.8547476863413763,1.138481904389583,1.9774377903824432,2.1193048994065466
4,0,1,5,1000,5000,0.040959999999999996,0.8113039796893251,0.1886960203106749,2250.0,-2750.0,0.45,-5000,6923.939870568183,4000,10000,85000,-2735.96,0.18922,0.81078,-5000.0,-5000.0,4000.0,175000.0,-5000.0,2264.04,M4B0S1,1.0713851151157054,-0.42737384317068816,1.0790033504805194,0.6440112719450173,1.397199868770621
4,1,0,5,1000,5000,0.04576000000000002,0.7912032949153839,0.20879670508461612,2250.0,-2750.0,0.45,-5000,5776.032117404218,4000,10000,85000,-2757.32,0.20776,0.79224,-5000.0,-5000.0,4000.0,28000.0,-5000.0,2242.68,M4B1S0,1.4498488092808905,-0.42737384317068816,1.4279692965166084,1.0224749661102024,1.9501465359538508
5,0,0,5,1000,5000,0.050000000000000044,0.7737809374999998,0.22621906250000023,2250.0,-2750.0,0.45,-5000,4946.111415787507,4000,10000,85000,-2757.92,0.22582,0.77418,-5000.0,-5000.0,4000.0,31000.0,-5000.0,2242.08,M5B0S0,1.7778838898091256,-0.42737384317068816,1.7679005255032196,1.3505100466384374,2.4481472309753913
